State of University,Name of University,State of Regional Center,District of Regional Center,Level,Total Enrolment Male,Total Enrolment Female,Total Enrolment
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Lucknow,Post Graduate,111,166,277
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Lucknow,Under Graduate,225,307,532
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Lucknow,Diploma,18,42,60
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Varanasi,PG Diploma,33,20,53
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Varanasi,Diploma,11,20,31
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Varanasi,Post Graduate,62,35,97
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Varanasi,Under Graduate,276,125,401
Uttrakhand,"Dev Sanskrit Vishwavidyalaya Gayatrikunj, Haridwar (Id: U-0551)",Uttrakhand,Hardwar,PG Diploma,284,388,672
Uttrakhand,"Institute of Chatertered Financial Analysts of India, Dehradun (Id: U-0561)",Uttrakhand,Dehradun,Under Graduate,8,2,10
Uttrakhand,"Institute of Chatertered Financial Analysts of India, Dehradun (Id: U-0561)",Uttrakhand,Dehradun,Post Graduate,157,111,268
Uttrakhand,"University of Petroleum and Energy Studies, Dehradun (Id: U-0564)",Uttrakhand,Dehradun,Post Graduate,862,66,928
Uttrakhand,"University of Petroleum and Energy Studies, Dehradun (Id: U-0564)",Uttrakhand,Dehradun,Under Graduate,58,20,78
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Almora,Under Graduate,232,98,330
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Almora,PG Diploma,15,0,15
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Almora,Diploma,33,12,45
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Almora,Post Graduate,483,456,939
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Bageshwar,Diploma,2,11,13
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Bageshwar,Post Graduate,174,152,326
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Bageshwar,PG Diploma,2,2,4
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Bageshwar,Under Graduate,271,190,461
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Garhwal,PG Diploma,11,1,12
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Garhwal,Under Graduate,658,553,1211
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Garhwal,Diploma,16,12,28
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Garhwal,Post Graduate,500,713,1213
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Hardwar,Under Graduate,1272,989,2261
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Hardwar,Diploma,156,61,217
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Hardwar,Post Graduate,1254,1699,2953
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Hardwar,PG Diploma,34,18,52
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Nainital,PG Diploma,101,30,131
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Nainital,Post Graduate,2665,2257,4922
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Nainital,Diploma,317,65,382
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Nainital,Under Graduate,1830,869,2699
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Pithoragarh,PG Diploma,24,15,39
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Pithoragarh,Post Graduate,246,176,422
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Pithoragarh,Under Graduate,185,156,341
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Pithoragarh,Diploma,24,22,46
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Uttarkashi,Under Graduate,406,461,867
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Uttarkashi,Post Graduate,447,412,859
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Uttarkashi,PG Diploma,8,2,10
Uttrakhand,Uttarakhand Open University (Id: U-0623),Uttrakhand,Uttarkashi,Diploma,3,2,5
West Bengal,"Burdwan University, Burdwan (Id: U-0569)",West Bengal,Barddhaman,Post Graduate,5840,10353,16193
West Bengal,"Indian Institute of Technology, Kaharagpur (Id: U-0573)",Chhatisgarh,Raipur,Post Graduate,4,1,5
West Bengal,"Indian Institute of Technology, Kaharagpur (Id: U-0573)",Odisha,Khordha,Post Graduate,119,43,162
West Bengal,"Indian Institute of Technology, Kaharagpur (Id: U-0573)",West Bengal,Kolkata,Post Graduate,102,22,124
West Bengal,"Indian Institute of Technology, Kaharagpur (Id: U-0573)",West Bengal,Paschim Medinipur,Post Graduate,10,2,12
West Bengal,"Kalyani University, Kalyani (Id: U-0576)",West Bengal,Murshidabad,Post Graduate,595,1068,1663
West Bengal,"Kalyani University, Kalyani (Id: U-0576)",West Bengal,Nadia,Post Graduate,482,909,1391
West Bengal,"Kalyani University, Kalyani (Id: U-0576)",West Bengal,North Twenty Four Parganas,Post Graduate,772,1557,2329
West Bengal,"Netaji Subhash Open University, Kolkata (Id: U-0578)",West Bengal,Nadia,Diploma,158,97,255
West Bengal,"Netaji Subhash Open University, Kolkata (Id: U-0578)",West Bengal,Nadia,Under Graduate,11114,6577,17691
West Bengal,"Netaji Subhash Open University, Kolkata (Id: U-0578)",West Bengal,Nadia,PG Diploma,167,166,333
West Bengal,"Netaji Subhash Open University, Kolkata (Id: U-0578)",West Bengal,Nadia,Certificate,74,81,155
West Bengal,"Netaji Subhash Open University, Kolkata (Id: U-0578)",West Bengal,Nadia,Post Graduate,2329,1975,4304
West Bengal,"North Bengal University, Darjeeling (Id: U-0579)",West Bengal,Darjiling,Post Graduate,1822,2364,4186
West Bengal,"Rabindra Bharati University, Kolkata (Id: U-0581)",West Bengal,Kolkata,Post Graduate,13895,27055,40950
West Bengal,"Rabindra Bharati University, Kolkata (Id: U-0581)",West Bengal,Kolkata,Under Graduate,10,45,55
West Bengal,"Rabindra Bharati University, Kolkata (Id: U-0581)",West Bengal,Kolkata,Diploma,11,16,27
West Bengal,"Vidya Sagar University, Midnapore (Id: U-0588)",West Bengal,Paschim Medinipur,Post Graduate,7261,0,7261
West Bengal,"West Bengal State University, Kolkata (Id: U-0590)",West Bengal,North Twenty Four Parganas,Post Graduate,0,0,0
All India,All India,All India,All India,All India,1971001,1552213,3523214
